2012 US Presidential Election,Trump,Clinton,Other,
Alabama,1306925,718084,43869,
Alaska,130415,93007,14593,
Arizona,1021154,936250,80151,
Arkansas,677904,378729,29518,
California,3916209,7362490,402406,
Colorado,1136354,1208095,129128,
Connecticut,668266,884432,48051,
Delaware,185103,235581,235581,
District of Columbia,11553,260223,4501,
Florida,4605515,4485745,206007,
Georgia,2068623,1837300,123641,
Hawaii,121648,251853,14854,
Idaho,407199,189677,46538,
Illinois,2118179,2977498,204491,
Indiana,1556220,1031953,133856,
Iowa,798923,650790,57322,
Kansas,656009,414788,53648,
Kentucky,1202942,628834,53749,
Louisiana,1178004,779535,37950,
Maine,334838,354873,37764,
Maryland,873646,1497951,71107,
Massachusetts,1083069,1964768,136784,
Michigan,2279805,2268193,173057,
Minnesota,1322891,1366676,112944,
Mississippi,678457,462001,13789,
Missouri,1585753,1054889,96404,
Montana,274120,174521,27264,
Nebraska,485819,273858,37615,
Nevada,511319,537753,37299,
New Hampshire,345789,348521,30827,
New Jersey,1535513,2021756,68695,
New Mexico,315875,380724,73669,
New York,2640570,4143874,161836,
North Carolina,2339603,2162074,127794,
North Dakota,216133,93526,21351,
Ohio,2771984,2317001,168599,
Oklahoma,947934,419788,83334,
Oregon,742506,934631,86306,
Pennsylvania,2912941,2844705,142653,
Rhode Island,179421,249902,14643,
South Carolina,1143611,849469,48715,
South Dakota,227701,117442,20845,
Tennessee,1517402,867110,70084,
Texas,4681590,3867816,282524,
Utah,452086,274188,207288,
Vermont,95053,178179,10047,
Virginia,1731156,1916845,116600,
Washington,1129120,1610524,144599,
West Virginia,486198,187457,22798,
Wisconsin,1409467,1382210,106442,
Wyoming,174248,55949,13285,
